City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Montepuez,MZ,72.93,clear sky,-13.1256,38.9997,PembaAparthotel
102,Cape Coast,GH,81.16,scattered clouds,5.1053,-1.2466,Samrit Hotel
105,Coromandel,BR,76.24,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
108,Ocampo,MX,72.28,clear sky,21.65,-101.5,Casa de ratas
110,Soto La Marina,MX,84.78,clear sky,23.7667,-98.2167,Hotel Chicago
113,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
117,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
121,Tual,ID,83.62,broken clouds,-5.6667,132.75,Grand Vilia Hotel
122,Rocha,UY,85.96,broken clouds,-34.4833,-54.3333,Hotel Arrarte
126,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
127,Victoria,HK,75.18,broken clouds,22.2855,114.1577,Mini Hotel Central
130,Batticaloa,LK,75.52,broken clouds,7.7102,81.6924,Grand Star Guest House
133,Mana,GF,81.59,overcast clouds,5.6592,-53.7767,LE SAMANA
137,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
140,Yulara,AU,71.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
142,Garowe,SO,70.93,clear sky,8.4054,48.4845,Curubo Hotel
143,Tallahassee,US,76.68,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
148,Buluang,PH,76.5,few clouds,13.3068,123.3425,Enon Beach Resort
153,Nacala,MZ,76.91,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
154,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
156,Balotra,IN,75.0,clear sky,25.8333,72.2333,Hotel City Square
159,Inhambane,MZ,75.18,broken clouds,-23.865,35.3833,Oceano
167,Le Vauclin,MQ,86.05,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
169,Vao,NC,73.78,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
171,Castro,BR,76.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
177,Puerto Narino,CO,87.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
179,Kapit,MY,73.89,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
180,Nishihara,JP,76.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
189,Diffa,NE,81.32,few clouds,13.3154,12.6113,ProDAF/Diffa
190,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
