City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
201,Barra Do Corda,-5.5,-45.25,87.8,60,60,3.56,BR,broken clouds
202,Taltal,-25.4,-70.4833,68.67,61,81,7.9,CL,broken clouds
203,Kavieng,-2.5744,150.7967,82.53,71,58,11.59,PG,broken clouds
204,Selcuk,37.9514,27.3685,56.01,53,0,2.64,TR,clear sky
205,Jacqueville,5.2052,-4.4146,84.11,81,51,8.43,CI,moderate rain
206,Turukhansk,65.8167,87.9833,-3.82,88,100,17.78,RU,overcast clouds
207,Kalabo,-14.97,22.6814,69.89,82,96,2.24,ZM,light rain
208,Kendari,-3.945,122.4989,75.74,92,100,3.24,ID,overcast clouds
209,Bilma,18.6853,12.9164,80.1,20,3,7.49,NE,clear sky
210,Orlik,52.5178,99.825,-6.41,94,70,2.91,RU,broken clouds
211,Marbella,36.5154,-4.8858,62.26,30,0,6.24,ES,clear sky
212,Ulaangom,49.9811,92.0667,7.32,81,98,2.37,MN,overcast clouds
213,Geraldton,-28.7667,114.6,64.81,68,75,10.36,AU,broken clouds
214,Buchanan,5.8808,-10.0467,78.76,81,25,7.27,LR,light rain
215,Qui Nhon,13.7667,109.2333,75.09,91,13,6.49,VN,few clouds
216,Elizabeth City,36.2946,-76.2511,69.82,58,1,3.0,US,clear sky
217,Kedougou,12.5579,-12.1743,83.97,20,5,3.33,SN,clear sky
218,Port Blair,11.6667,92.75,81.01,83,18,7.34,IN,few clouds
219,Saint-Paul,-21.0096,55.2707,75.31,90,40,3.0,RE,scattered clouds
220,Surt,31.2089,16.5887,68.22,61,95,6.42,LY,overcast clouds
221,Tarko-Sale,64.9225,77.785,17.29,95,100,15.68,RU,overcast clouds
222,Saint Augustine,29.8947,-81.3145,77.09,82,75,14.97,US,haze
223,Lashio,22.9333,97.75,59.02,95,6,1.52,MM,clear sky
224,Torbay,47.6666,-52.7314,33.67,69,40,8.05,CA,scattered clouds
225,Bogale,16.2833,95.4,73.2,87,19,5.12,MM,few clouds
226,Cobija,-11.0267,-68.7692,87.42,53,91,0.36,BO,overcast clouds
227,Poya,-21.35,165.15,76.14,75,40,1.21,NC,scattered clouds
228,Bubaque,11.2833,-15.8333,84.09,73,12,12.95,GW,few clouds
229,Perth,-31.9333,115.8333,67.03,87,75,12.66,AU,broken clouds
230,Vanimo,-2.6741,141.3028,77.54,89,100,3.87,PG,overcast clouds
231,Yar-Sale,66.8333,70.8333,16.11,95,100,13.96,RU,light snow
232,Chuy,-33.6971,-53.4616,86.83,40,0,9.8,UY,clear sky
233,Bagdarin,54.4333,113.6,-9.38,96,13,4.05,RU,few clouds
234,Haines Junction,60.7522,-137.5108,-4.05,71,100,0.0,CA,overcast clouds
235,Talaya,61.3833,152.75,-12.03,100,100,2.98,RU,overcast clouds
236,Yelkhovka,53.8667,50.2832,32.76,96,92,14.41,RU,light snow
237,Hithadhoo,-0.6,73.0833,80.89,79,100,11.52,MV,overcast clouds
238,Kautokeino,69.0125,23.0412,3.52,94,26,5.97,NO,scattered clouds
239,Roseburg,43.2165,-123.3417,59.49,76,1,0.0,US,clear sky
240,Mitsamiouli,-11.3847,43.2844,79.74,75,27,8.03,KM,scattered clouds
241,Sungaipenuh,-2.0833,101.3833,65.71,95,100,0.98,ID,light rain
242,Faya,18.3851,42.4509,59.52,59,67,2.73,SA,broken clouds
243,Butembo,0.15,29.2833,56.95,97,97,3.29,CD,light rain
244,Dormidontovka,47.7702,134.9076,18.68,91,100,12.88,RU,snow
245,Nara,34.6851,135.8049,60.98,73,100,3.91,JP,overcast clouds
246,Cockburn Town,21.4612,-71.1419,81.19,68,100,10.63,TC,overcast clouds
247,Corinto,37.9407,22.9573,59.68,77,0,3.18,GR,clear sky
248,Nalut,30.3333,10.85,64.92,49,48,6.44,LY,scattered clouds
249,Fukue,32.6881,128.8419,61.92,86,100,21.74,JP,moderate rain
250,Baykit,61.67,96.37,4.41,98,100,2.73,RU,light snow
251,Guerrero Negro,27.9769,-114.0611,74.46,45,100,3.13,MX,overcast clouds
252,Upington,-28.4478,21.2561,77.58,22,0,23.69,ZA,clear sky
253,Atherton,53.5237,-2.4935,42.42,75,8,1.01,GB,clear sky
254,Ilulissat,69.2167,-51.1,23.02,80,100,3.44,GL,overcast clouds
255,Kasane,-17.8167,25.15,69.17,85,100,3.71,BW,moderate rain
256,Fort Nelson,58.8053,-122.7002,-0.81,78,90,2.3,CA,overcast clouds
257,Moncao,42.0789,-8.4808,57.15,83,2,4.34,PT,clear sky
258,Kilinochchi,9.3961,80.3982,75.22,86,18,5.32,LK,few clouds
259,Malanje,-9.5402,16.341,64.13,97,67,4.41,AO,light rain
260,Vestmannaeyjar,63.4427,-20.2734,44.26,84,100,19.86,IS,overcast clouds
261,Chokurdakh,70.6333,147.9167,-15.99,100,96,1.9,RU,overcast clouds
262,Oktyabrskoye,43.0645,44.7417,28.54,93,7,4.47,RU,clear sky
263,Lom,43.8139,23.2361,46.76,75,0,1.28,BG,clear sky
264,Matagami,49.7502,-77.6328,35.71,87,75,13.8,CA,broken clouds
265,Lagoa,39.05,-27.9833,62.6,86,100,35.81,PT,overcast clouds
266,Bridgetown,13.1,-59.6167,84.69,65,40,14.97,BB,scattered clouds
267,Evanston,42.0411,-87.6901,55.96,51,20,5.01,US,few clouds
268,Kerman,30.2832,57.0788,49.86,50,0,4.61,IR,clear sky
269,Nemuro,43.3236,145.575,41.18,67,100,8.43,JP,overcast clouds
270,Huntingdon,52.3305,-0.1865,40.78,88,9,1.99,GB,clear sky
271,Seoul,37.5683,126.9778,44.2,70,90,12.66,KR,overcast clouds
272,Kitui,-1.367,38.0106,65.77,87,31,5.48,KE,light rain
273,Sangar,63.9242,127.4739,-31.25,97,31,1.9,RU,scattered clouds
274,Iqaluit,63.7506,-68.5145,11.93,85,75,3.44,CA,light snow
275,Walvis Bay,-22.9575,14.5053,61.09,82,0,10.36,NA,clear sky
276,Nanortalik,60.1432,-45.2371,33.46,99,100,10.54,GL,snow
277,Mahon,39.8885,4.2658,55.96,94,75,3.44,ES,broken clouds
278,Shaoyang,27.2315,111.4525,44.49,85,100,5.39,CN,overcast clouds
279,Kathu,7.9178,98.3332,84.69,99,79,3.71,TH,broken clouds
280,Sakakah,29.9697,40.2064,63.97,59,70,8.75,SA,broken clouds
281,Huarmey,-10.0681,-78.1522,70.07,74,93,10.29,PE,overcast clouds
282,Katsuura,35.1333,140.3,55.51,87,95,23.2,JP,light rain
283,Santa Cruz De Tenerife,28.4682,-16.2546,73.0,79,20,3.44,ES,few clouds
284,Acapulco,16.8634,-99.8901,85.42,63,0,6.71,MX,clear sky
285,Tilichiki,60.4667,166.1,-2.69,98,37,11.63,RU,scattered clouds
286,Malvern,34.3623,-92.813,65.95,85,100,3.02,US,overcast clouds
287,La Palma,33.8464,-118.0467,85.12,14,1,10.0,US,clear sky
288,Manono,-7.3,27.4167,71.65,83,98,4.25,CD,overcast clouds
289,Vila,42.0304,-8.1588,46.33,83,3,3.83,PT,clear sky
290,Te Anau,-45.4167,167.7167,49.48,97,100,2.73,NZ,overcast clouds
291,Nandi,13.3855,77.6984,67.6,94,96,3.89,IN,overcast clouds
292,Kirakira,-10.4544,161.9205,81.63,80,13,4.99,SB,few clouds
293,Kampong Cham,11.9934,105.4635,74.89,91,18,3.62,KH,few clouds
294,Westport,41.1415,-73.3579,56.32,59,1,1.01,US,clear sky
295,Jumla,29.2747,82.1838,41.29,35,0,4.56,NP,clear sky
296,Saint-Pierre,-21.3393,55.4781,74.88,74,90,5.75,RE,overcast clouds
