City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,port hawkesbury,CA,2021-11-16 05:16:53,45.6169,-61.3485,44.19,86,90,14.0
101,alofi,NU,2021-11-16 05:16:53,-19.0595,-169.9187,75.09,78,25,6.91
102,saint-augustin,CA,2021-11-16 05:16:54,51.226,-58.6502,36.91,98,100,21.39
103,auki,SB,2021-11-16 05:16:54,-8.7676,160.7034,83.23,72,87,0.96
104,puerto ayora,EC,2021-11-16 05:15:42,-0.7393,-90.3518,68.86,79,45,8.55
105,kingsville,US,2021-11-16 05:16:54,27.5159,-97.8561,73.81,91,1,8.05
106,belle fourche,US,2021-11-16 05:16:54,44.6714,-103.8522,67.51,17,100,10.18
107,sao felix do xingu,BR,2021-11-16 05:15:56,-6.6447,-51.995,72.05,98,100,0.16
108,fukue,JP,2021-11-16 05:16:55,32.6881,128.8419,64.76,55,75,8.05
109,pozoblanco,ES,2021-11-16 05:16:55,38.3791,-4.8483,34.38,68,84,3.36
110,soyo,AO,2021-11-16 05:16:55,-6.1349,12.3689,78.44,89,100,8.99
111,lesnyye polyany,RU,2021-11-16 05:16:56,55.9667,37.8667,28.17,82,22,11.7
112,carnarvon,AU,2021-11-16 05:11:06,-24.8667,113.6333,73.54,60,12,12.12
113,zwedru,LR,2021-11-16 05:16:56,6.0667,-8.1281,70.54,99,21,1.81
114,burnie,AU,2021-11-16 05:16:29,-41.0667,145.9167,60.93,53,87,13.06
115,leningradskiy,RU,2021-11-16 05:16:12,69.3833,178.4167,4.06,98,99,7.76
116,dingle,PH,2021-11-16 05:16:56,10.9995,122.6711,83.25,81,99,10.92
117,abbeville,FR,2021-11-16 05:16:56,50.1,1.8333,46.36,84,100,2.13
118,lomonosov,RU,2021-11-16 05:16:57,59.9061,29.7725,35.89,88,86,20.38
119,san quintin,MX,2021-11-16 05:16:57,30.4833,-115.95,64.27,74,0,4.03
120,akyab,MM,2021-11-16 05:16:57,20.15,92.9,84.92,62,27,1.34
121,meadville,US,2021-11-16 05:16:58,41.6414,-80.1515,34.57,82,90,3.0
122,katsuura,JP,2021-11-16 05:14:17,35.1333,140.3,64.51,72,49,13.94
123,victoria,HK,2021-11-16 05:15:34,22.2855,114.1577,81.97,66,96,11.01
124,nanesti,RO,2021-11-16 05:16:58,45.55,27.5,37.72,78,7,7.54
125,barrow,US,2021-11-16 05:15:22,71.2906,-156.7887,3.22,72,90,16.11
126,guhagar,IN,2021-11-16 05:16:58,17.4842,73.1929,86.58,62,100,8.63
127,ciudad bolivar,VE,2021-11-16 05:16:59,8.1222,-63.5497,76.08,81,95,9.4
128,sioux lookout,CA,2021-11-16 05:16:09,50.1001,-91.917,25.18,86,90,5.75
129,the pas,CA,2021-11-16 05:16:59,53.8251,-101.2541,28.42,100,90,11.5
130,fortuna,US,2021-11-16 05:13:08,40.5982,-124.1573,54.48,75,90,5.99
131,ribeira grande,PT,2021-11-16 05:15:36,38.5167,-28.7,67.69,83,8,13.06
132,moerai,PF,2021-11-16 05:16:59,-22.4333,-151.3333,78.1,81,99,3.56
133,tiksi,RU,2021-11-16 05:15:28,71.6872,128.8694,-5.57,90,100,4.94
134,bilecik,TR,2021-11-16 05:17:00,40.0,30.1667,32.68,94,45,1.16
135,caravelas,BR,2021-11-16 05:17:00,-17.7125,-39.2481,73.76,73,100,9.46
136,bafoulabe,ML,2021-11-16 05:17:00,13.8065,-10.8321,77.67,30,64,2.01
137,yulara,AU,2021-11-16 05:16:11,-25.2406,130.9889,89.44,11,0,10.36
138,rio gallegos,AR,2021-11-16 05:17:01,-51.6226,-69.2181,41.05,48,0,9.22
139,mabaruma,GY,2021-11-16 05:17:01,8.2,-59.7833,71.1,98,52,1.74
140,leh,IN,2021-11-16 05:17:01,34.1667,77.5833,20.46,48,0,3.09
141,mezen,RU,2021-11-16 05:17:02,65.8522,44.24,28.54,97,100,5.64
142,ponta do sol,PT,2021-11-16 05:16:08,32.6667,-17.1,66.83,64,99,4.68
143,hervey bay,AU,2021-11-16 05:17:02,-25.2986,152.8535,84.31,64,2,15.26
144,kuusamo,FI,2021-11-16 05:17:02,65.9667,29.1833,32.04,100,90,11.5
145,haimen,CN,2021-11-16 05:17:03,23.1935,116.6142,78.69,59,10,10.98
146,atambua,ID,2021-11-16 05:17:03,-9.1061,124.8925,85.37,53,69,0.76
147,matara,LK,2021-11-16 05:13:05,5.9485,80.5353,81.12,84,100,12.44
148,los llanos de aridane,ES,2021-11-16 05:15:39,28.6585,-17.9182,62.35,71,0,7.0
149,chingirlau,KZ,2021-11-16 05:17:03,51.095,54.0814,14.11,84,6,6.51
150,mahajanga,MG,2021-11-16 05:17:03,-15.7167,46.3167,86.02,66,40,2.3
151,husavik,IS,2021-11-16 05:17:04,66.0449,-17.3389,35.51,76,15,17.11
152,puerto narino,CO,2021-11-16 05:17:04,-3.7703,-70.3831,76.95,99,100,2.44
153,barra patuca,HN,2021-11-16 05:17:04,15.8,-84.2833,77.34,87,52,10.27
154,aykhal,RU,2021-11-16 05:17:05,66.0,111.5,2.7,97,99,0.69
155,daru,PG,2021-11-16 05:15:51,-9.0763,143.2092,82.51,81,100,9.01
156,punta arenas,CL,2021-11-16 05:15:23,-53.15,-70.9167,46.51,53,75,18.41
157,touros,BR,2021-11-16 05:16:18,-5.1989,-35.4608,79.7,76,5,13.06
158,omaruru,NA,2021-11-16 05:17:05,-21.4333,15.9333,74.43,34,79,3.24
159,dikson,RU,2021-11-16 05:15:43,73.5069,80.5464,-13.4,98,53,6.62
160,yima,CN,2021-11-16 05:17:05,34.7381,111.8839,54.86,44,33,6.85
161,ladario,BR,2021-11-16 05:17:06,-19.0047,-57.6017,72.75,98,100,2.19
162,arraial do cabo,BR,2021-11-16 05:12:59,-22.9661,-42.0278,71.46,73,0,12.66
163,tokur,RU,2021-11-16 05:17:06,53.1333,132.9,10.15,77,66,5.37
164,kysyl-syr,RU,2021-11-16 05:17:06,63.8986,122.7617,-5.48,98,94,3.44
165,yunyang,CN,2021-11-16 05:17:06,33.4474,112.7142,64.78,40,94,8.55
166,goba,ET,2021-11-16 05:17:07,7.0167,39.9833,55.49,70,68,1.97
167,tieling,CN,2021-11-16 05:17:07,42.2931,123.8414,41.59,53,1,8.32
168,castro,BR,2021-11-16 05:15:56,-24.7911,-50.0119,58.05,93,62,4.07
169,tura,IN,2021-11-16 05:17:07,25.5198,90.2201,76.59,52,5,0.92
170,mahebourg,MU,2021-11-16 05:15:39,-20.4081,57.7,81.25,69,75,11.5
171,mkuranga,TZ,2021-11-16 05:17:07,-7.118,39.2078,78.55,69,67,1.81
172,nome,US,2021-11-16 05:15:57,64.5011,-165.4064,3.27,67,1,0.0
173,east london,ZA,2021-11-16 05:11:26,-33.0153,27.9116,67.23,69,94,18.12
174,makakilo city,US,2021-11-16 05:17:08,21.3469,-158.0858,75.56,77,1,5.75
175,zhigalovo,RU,2021-11-16 05:17:08,54.8097,105.1578,29.03,82,100,1.81
176,vannes,FR,2021-11-16 05:17:08,47.8333,-2.5,49.28,80,51,1.74
177,le port,RE,2021-11-16 05:17:09,-20.9373,55.2919,82.36,87,37,3.33
178,la macarena,CO,2021-11-16 05:17:09,2.1837,-73.7849,73.51,89,81,2.91
179,coahuayana,MX,2021-11-16 05:16:30,18.7333,-103.6833,83.68,67,60,3.87
180,sayyan,YE,2021-11-16 05:17:09,15.1718,44.3244,57.18,35,6,0.74
181,codrington,AU,2021-11-16 05:15:17,-38.2667,141.9667,56.95,58,81,11.56
182,deputatskiy,RU,2021-11-16 05:15:25,69.3,139.9,-0.94,97,100,3.24
183,abnub,EG,2021-11-16 05:17:09,27.2696,31.1511,65.55,56,12,4.63
184,marsh harbour,BS,2021-11-16 05:17:10,26.5412,-77.0636,74.46,63,97,17.13
185,beruwala,LK,2021-11-16 05:17:10,6.4788,79.9828,81.14,83,92,10.33
186,nikolskoye,RU,2021-11-16 05:13:08,59.7035,30.7861,35.87,84,56,12.08
187,beloha,MG,2021-11-16 05:15:58,-25.1667,45.05,77.65,60,39,9.69
188,chuy,UY,2021-11-16 05:11:37,-33.6971,-53.4616,65.07,93,12,9.55
189,pevek,RU,2021-11-16 05:15:50,69.7008,170.3133,17.65,88,100,7.18
190,fuerte olimpo,PY,2021-11-16 05:17:10,-21.0415,-57.8738,74.12,89,100,6.04
191,la paz,BO,2021-11-16 05:12:23,-16.5,-68.15,48.18,76,40,4.61
192,toda raisingh,IN,2021-11-16 05:17:11,26.0252,75.4849,73.92,27,0,5.82
193,ponta delgada,PT,2021-11-16 05:14:14,37.7333,-25.6667,65.5,82,40,5.75
194,shakhtinsk,KZ,2021-11-16 05:17:11,49.71,72.5872,21.76,87,100,7.14
195,trojes,AL,2021-11-16 05:17:11,41.756,19.962,45.09,79,74,8.34
196,buraydah,SA,2021-11-16 05:17:11,26.326,43.975,66.65,43,5,10.69
197,nishihara,JP,2021-11-16 05:17:12,26.1842,127.7558,76.68,58,40,12.66
198,xinye,CN,2021-11-16 05:17:12,32.5186,112.3522,62.94,38,96,10.33
